,CO_MUNICIPIO_ESC,NO_MUNICIPIO_ESC,CO_UF_ESC,SG_UF_ESC,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,NU_NOTA_REDACAO
22,1100320.0,São Miguel do Guaporé,11.0,RO,473.771875,500.03030303030295,513.3121212121213,497.5,601.8181818181819
23,1100338.0,Nova Mamoré,11.0,RO,439.3999999999999,478.27179487179495,481.9871794871794,469.14285714285717,459.4871794871795
24,1100346.0,Alvorada D'Oeste,11.0,RO,459.2555555555557,472.0111111111112,484.974074074074,460.637037037037,605.1851851851852
25,1100379.0,Alto Alegre dos Parecis,11.0,RO,470.28999999999996,498.17999999999995,505.0450000000001,481.17500000000007,616.0
26,1100403.0,Alto Paraíso,11.0,RO,454.1066666666667,448.5200000000001,485.9666666666666,465.0599999999999,469.3333333333333
27,1100452.0,Buritis,11.0,RO,478.2461538461539,469.04833333333346,501.1999999999999,467.92884615384617,508.6666666666667
28,1100502.0,Novo Horizonte do Oeste,11.0,RO,513.7666666666667,544.0,514.7777777777778,538.1333333333333,580.0
29,1100601.0,Cacaulândia,11.0,RO,456.0625,457.27777777777777,450.77777777777777,480.45000000000005,442.22222222222223
30,1100700.0,Campo Novo de Rondônia,11.0,RO,464.48181818181814,489.42499999999995,497.1916666666666,497.41818181818184,565.0
31,1100809.0,Candeias do Jamari,11.0,RO,453.5857142857143,453.7343749999999,482.0968750000001,466.0571428571429,471.875
32,1100908.0,Castanheiras,11.0,RO,497.43999999999994,494.88,486.67999999999995,439.88,460.0
33,1100924.0,Chupinguaia,11.0,RO,425.06666666666666,473.06666666666666,467.3,451.8500000000001,493.3333333333333
34,1100940.0,Cujubim,11.0,RO,451.0076923076924,485.35714285714283,503.3714285714285,461.20769230769224,507.14285714285717
35,1101005.0,Governador Jorge Teixeira,11.0,RO,446.8277777777778,482.4277777777777,465.6777777777778,471.44444444444434,513.3333333333334
36,1101104.0,Itapuã do Oeste,11.0,RO,453.04999999999995,472.7235294117646,502.3,468.3500000000001,470.5882352941176
37,1101203.0,Ministro Andreazza,11.0,RO,459.52916666666675,474.50416666666666,484.1458333333333,469.9583333333334,545.8333333333334
38,1101302.0,Mirante da Serra,11.0,RO,469.0321428571428,497.3206896551724,518.1689655172414,501.20357142857154,601.3793103448276
39,1101401.0,Monte Negro,11.0,RO,442.21666666666664,454.4944444444444,464.8333333333333,446.70000000000005,481.1111111111111
40,1101435.0,Nova União,11.0,RO,444.8785714285714,451.88,495.66666666666674,445.28571428571433,610.6666666666666
41,1101450.0,Parecis,11.0,RO,,,,,
42,1101468.0,Pimenteiras do Oeste,11.0,RO,512.6,484.2200000000001,456.8,597.725,468.0
43,1101476.0,Primavera de Rondônia,11.0,RO,482.08000000000004,488.6,501.46000000000004,476.05999999999995,608.0
44,1101484.0,São Felipe D'Oeste,11.0,RO,476.60833333333335,489.425,462.93333333333334,510.2416666666666,591.6666666666666
45,1101492.0,São Francisco do Guaporé,11.0,RO,462.38571428571436,480.4833333333333,491.6916666666665,478.36571428571426,600.0
46,1101500.0,Seringueiras,11.0,RO,464.81111111111113,482.83000000000004,496.91,502.6111111111111,601.0
47,1101559.0,Teixeirópolis,11.0,RO,461.97272727272724,421.75454545454545,501.75454545454545,490.11818181818194,541.8181818181819
48,1101609.0,Theobroma,11.0,RO,440.1857142857143,438.95714285714297,457.54285714285714,427.1785714285715,445.7142857142857
49,1101708.0,Urupá,11.0,RO,479.46999999999997,503.77826086956526,512.0130434782608,483.6,557.3913043478261
50,1101757.0,Vale do Anari,11.0,RO,526.9666666666667,531.275,540.0,588.1,435.0
51,1101807.0,Vale do Paraíso,11.0,RO,447.9749999999999,432.67499999999995,473.40000000000003,462.53333333333336,393.3333333333333
52,1200013.0,Acrelândia,12.0,AC,457.1384615384616,439.7933333333333,475.9266666666667,447.8769230769231,480.0
53,1200054.0,Assis Brasil,12.0,AC,453.48333333333335,468.55,515.6833333333333,430.40000000000003,616.6666666666666
54,1200104.0,Brasiléia,12.0,AC,470.0076923076922,480.25999999999993,497.04333333333335,500.5153846153846,524.6666666666666
55,1200138.0,Bujari,12.0,AC,467.7714285714286,496.3428571428571,481.4714285714286,488.59999999999997,477.14285714285717
56,1200179.0,Capixaba,12.0,AC,467.87777777777774,486.9263157894737,506.59999999999997,467.18888888888887,568.421052631579
57,1200203.0,Cruzeiro do Sul,12.0,AC,468.65809523809514,485.6954337899544,503.86643835616417,476.1926190476193,555.296803652968
58,1200252.0,Epitaciolândia,12.0,AC,486.7538461538461,492.21,512.77,471.5153846153846,512.0
59,1200302.0,Feijó,12.0,AC,435.776,448.01851851851836,480.75185185185205,458.596,505.9259259259259
60,1200328.0,Jordão,12.0,AC,454.46000000000004,470.25454545454545,498.2818181818182,472.51000000000005,645.4545454545455
61,1200336.0,Mâncio Lima,12.0,AC,447.20701754385954,451.4762711864408,471.493220338983,433.4526315789473,511.52542372881356
62,1200344.0,Manoel Urbano,12.0,AC,438.7176470588235,488.6722222222222,509.7388888888888,439.28235294117644,528.8888888888889
63,1200351.0,Marechal Thaumaturgo,12.0,AC,442.624,469.26071428571424,494.21071428571423,467.172,532.1428571428571
64,1200385.0,Plácido de Castro,12.0,AC,458.0,453.4000000000001,472.03529411764714,463.0647058823529,430.5882352941176
65,1200393.0,Porto Walter,12.0,AC,453.85625,471.28125000000006,478.21874999999994,465.83125,562.5
66,1200401.0,Rio Branco,12.0,AC,481.3571125265389,500.52471380471394,516.7350168350175,499.936942675159,580.2020202020202
67,1200427.0,Rodrigues Alves,12.0,AC,455.7076923076923,429.41153846153844,483.9230769230769,482.19230769230785,549.2307692307693
68,1200435.0,Santa Rosa do Purus,12.0,AC,421.5,413.7714285714286,418.40000000000003,431.9200000000001,465.7142857142857
69,1200450.0,Senador Guiomard,12.0,AC,449.02727272727276,476.86086956521734,474.6999999999999,463.79090909090917,474.7826086956522
70,1200500.0,Sena Madureira,12.0,AC,457.3064102564106,460.2083333333333,494.54761904761904,479.3282051282051,520.7142857142857
71,1200609.0,Tarauacá,12.0,AC,451.0142857142859,459.80495049504924,485.39009900990095,475.1978021978023,491.08910891089107
72,1200708.0,Xapuri,12.0,AC,466.2088235294118,488.12777777777785,499.67499999999995,492.6470588235294,586.6666666666666
